"base_model","shape","talla","rank","alpha","network","optimizer","ep","batch","gas","unet_lr","te_lr","sched","warm","snr","noise_off","wd","d_coef","workers","x_over"
"GraydientPlatformAPI/realism-engine2-xl","style","EG","32","32","conv","adamw","9","12","1","4E-05","2E-06","cosine","120","5","0.04","0.0001",,"8",""
"GraydientPlatformAPI/realism-engine2-xl","subject","ECH","32","32","conv","prodigy","29","4","2","0.8","0.8","constant",,"5",,"0.015","1.3","4",""
"GraydientPlatformAPI/realism-engine2-xl","subject","CH","32","32","conv","prodigy","27","6","1","0.9","0.9","constant",,"5",,"0.015","1.2","4",""
"GraydientPlatformAPI/realism-engine2-xl","subject","M","32","32","conv","prodigy","22","8","1","1.0","1.0","constant_with_warmup","50","5",,"0.01","1.1","4",""
"GraydientPlatformAPI/realism-engine2-xl","subject","G","32","32","conv","prodigy","16","10","1","1.1","1.1","constant_with_warmup","75","5",,"0.01","1.0","6",""
"GraydientPlatformAPI/realism-engine2-xl","subject","EG","32","32","conv","prodigy","9","12","1","1.2","1.2","constant_with_warmup","100","5",,"0.01","0.9","8",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","style","ECH","32","32","conv","adamw","50","4","2","2.5E-05","1E-06","constant_with_warmup","25","7","0.02","0.01",,"4",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","style","CH","32","32","conv","adamw","48","8","1","3E-05","1.2E-06","cosine","50","7","0.025","0.01",,"4",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","style","M","32","32","conv","adamw","38","8","1","3.5E-05","1.4E-06","cosine","75","7","0.03","0.01",,"4",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","style","G","32","32","conv","adamw","28","10","1","4E-05","1.6E-06","cosine","100","7","0.035","0.01",,"6",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","style","EG","32","32","conv","adamw","18","12","1","4.5E-05","1.8E-06","cosine","120","7","0.04","0.01",,"8",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","subject","ECH","32","32","plain","prodigy","40","7","1","0.9","0.9","constant",,"7",,"0.01","1.2","4",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","subject","CH","32","32","plain","prodigy","48","8","1","0.95","0.95","constant",,"7",,"0.01","1.15","4",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","subject","M","32","32","plain","prodigy","38","8","1","1.0","1.0","constant_with_warmup","50","7",,"0.01","1.1","4",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","subject","G","32","32","plain","prodigy","28","10","1","1.05","1.05","constant_with_warmup","75","7",,"0.01","1.0","6",""
"John6666/hassaku-xl-illustrious-v10style-sdxl","subject","EG","32","32","plain","prodigy","18","12","1","1.1","1.1","constant_with_warmup","100","7",,"0.01","0.9","8",""
